Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
416,0x0BB5,-9.3056,-181.1346
417,0x5F2D,-2.6276,-51.1467
418,0xE4D0,8.0617,156.9211
419,0xDB83,7.3162,142.4094
420,0x5964,-3.0929,-60.2032
421,0x0BC4,-9.3010,-181.0447
422,0x5F17,-2.6346,-51.2819
423,0xE4F8,8.0741,157.1630
424,0xDB61,7.3055,142.2012
425,0x593E,-3.1048,-60.4357
426,0x0BBC,-9.3036,-181.0947
427,0x5F31,-2.6265,-51.1251
428,0xE4EE,8.0709,157.1008
429,0xDB43,7.2960,142.0174
430,0x595B,-3.0958,-60.2606
431,0x0BB8,-9.3049,-181.1203
432,0x5F50,-2.6169,-50.9379
433,0xE4F8,8.0740,157.1603
434,0xDB5C,7.3038,142.1681
435,0x595E,-3.0950,-60.2438
436,0x0BBF,-9.3028,-181.0792
437,0x5F7E,-2.6026,-50.6596
438,0xE510,8.0814,157.3048
439,0xDB32,7.2906,141.9112
440,0x592A,-3.1113,-60.5615
441,0x0BBA,-9.3044,-181.1110
442,0x5F7B,-2.6036,-50.6792
443,0xE50C,8.0801,157.2791
444,0xDB3D,7.2939,141.9767
445,0x5902,-3.1239,-60.8061
446,0x0BB1,-9.3073,-181.1670
447,0x5F7E,-2.6027,-50.6623
448,0xE51C,8.0850,157.3750
449,0xDB17,7.2820,141.7443
450,0x5922,-3.1139,-60.6128
451,0x0BBE,-9.3033,-181.0893
452,0x5F89,-2.5994,-50.5967
453,0xE532,8.0918,157.5075
454,0xDB35,7.2913,141.9253
455,0x5923,-3.1137,-60.6081
456,0x0BC1,-9.3025,-181.0725
457,0x5FB9,-2.5844,-50.3062
458,0xE527,8.0883,157.4391
459,0xDB37,7.2919,141.9360
460,0x5929,-3.1119,-60.5731
461,0x0BB7,-9.3057,-181.1348
462,0x5FA7,-2.5901,-50.4172
463,0xE529,8.0889,157.4498
464,0xDB23,7.2855,141.8129
465,0x58FC,-3.1260,-60.8482
466,0x0BBB,-9.3045,-181.1118
467,0x5FAD,-2.5883,-50.3821
468,0xE550,8.1010,157.6856
469,0xDAF2,7.2701,141.5135
470,0x58ED,-3.1308,-60.9408
471,0x0BC1,-9.3027,-181.0767
472,0x5FB5,-2.5859,-50.3348
473,0xE53F,8.0956,157.5808
474,0xDB15,7.2810,141.7250
475,0x5905,-3.1234,-60.7963
476,0x0BB4,-9.3068,-181.1572
477,0x5FDB,-2.5741,-50.1051
478,0xE53D,8.0949,157.5672
479,0xDAFE,7.2738,141.5837
480,0x58EC,-3.1312,-60.9497
481,0x0BC2,-9.3025,-181.0734
482,0x5FD9,-2.5748,-50.1186
483,0xE56E,8.1101,157.8638
484,0xDB02,7.2749,141.6065
485,0x58DD,-3.1360,-61.0424
486,0x0BC0,-9.3032,-181.0870
487,0x5FE8,-2.5702,-50.0289
488,0xE568,8.1082,157.8259
489,0xDAE3,7.2652,141.4166
490,0x58D5,-3.1386,-61.0925
491,0x0BB7,-9.3061,-181.1432
492,0x5FE6,-2.5709,-50.0424
