Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
10930,0x800B,0.0034,0.1722
10931,0x800C,0.0037,0.1878
10932,0x800B,0.0034,0.1722
10933,0x800B,0.0034,0.1722
10934,0x800C,0.0037,0.1878
10935,0x800B,0.0034,0.1722
10936,0x800C,0.0037,0.1878
10937,0x800B,0.0034,0.1722
10938,0x800B,0.0034,0.1722
10939,0x800C,0.0037,0.1878
10940,0x800B,0.0034,0.1722
10941,0x800C,0.0037,0.1878
10942,0x800C,0.0037,0.1878
10943,0x800B,0.0034,0.1722
10944,0x800C,0.0037,0.1878
10945,0x800C,0.0037,0.1878
10946,0x800C,0.0037,0.1878
10947,0x800C,0.0037,0.1878
10948,0x800C,0.0037,0.1878
10949,0x800B,0.0034,0.1722
10950,0x800B,0.0034,0.1722
10951,0x800C,0.0037,0.1878
10952,0x800C,0.0037,0.1878
10953,0x800C,0.0037,0.1878
10954,0x800C,0.0037,0.1878
10955,0x800C,0.0037,0.1878
10956,0x800B,0.0034,0.1722
10957,0x800C,0.0037,0.1878
10958,0x800C,0.0037,0.1878
10959,0x800C,0.0037,0.1878
10960,0x800B,0.0034,0.1722
10961,0x800C,0.0037,0.1878
10962,0x800C,0.0037,0.1878
10963,0x800C,0.0037,0.1878
10964,0x800B,0.0034,0.1722
10965,0x800C,0.0037,0.1878
10966,0x800C,0.0037,0.1878
10967,0x800C,0.0037,0.1878
10968,0x800C,0.0037,0.1878
10969,0x800C,0.0037,0.1878
10970,0x800D,0.0041,0.2035
10971,0x800C,0.0037,0.1878
10972,0x800B,0.0034,0.1722
10973,0x800D,0.0041,0.2035
10974,0x800B,0.0034,0.1722
10975,0x800C,0.0037,0.1878
10976,0x800C,0.0037,0.1878
10977,0x800C,0.0037,0.1878
10978,0x800B,0.0034,0.1722
10979,0x800C,0.0037,0.1878
10980,0x800C,0.0037,0.1878
10981,0x800C,0.0037,0.1878
10982,0x800C,0.0037,0.1878
10983,0x800C,0.0037,0.1878
10984,0x800C,0.0037,0.1878
10985,0x800C,0.0037,0.1878
10986,0x800C,0.0037,0.1878
10987,0x800C,0.0037,0.1878
10988,0x800C,0.0037,0.1878
10989,0x800C,0.0037,0.1878
10990,0x800C,0.0037,0.1878
10991,0x800C,0.0037,0.1878
10992,0x800C,0.0037,0.1878
10993,0x800B,0.0034,0.1722
10994,0x800D,0.0041,0.2035
10995,0x800B,0.0034,0.1722
10996,0x800B,0.0034,0.1722
10997,0x800B,0.0034,0.1722
10998,0x800C,0.0037,0.1878
10999,0x800C,0.0037,0.1878
11000,0x800B,0.0034,0.1722
11001,0x800B,0.0034,0.1722
11002,0x800B,0.0034,0.1722
11003,0x800D,0.0041,0.2035
11004,0x800B,0.0034,0.1722
11005,0x800C,0.0037,0.1878
11006,0x800B,0.0034,0.1722
11007,0x800C,0.0037,0.1878
11008,0x800C,0.0037,0.1878
11009,0x800C,0.0037,0.1878
11010,0x800C,0.0037,0.1878
11011,0x800C,0.0037,0.1878
11012,0x800B,0.0034,0.1722
11013,0x800C,0.0037,0.1878
11014,0x800D,0.0041,0.2035
11015,0x800C,0.0037,0.1878
11016,0x800B,0.0034,0.1722
11017,0x800B,0.0034,0.1722
11018,0x800C,0.0037,0.1878
11019,0x800C,0.0037,0.1878
11020,0x800C,0.0037,0.1878
11021,0x800B,0.0034,0.1722
11022,0x800C,0.0037,0.1878
11023,0x800B,0.0034,0.1722
11024,0x800C,0.0037,0.1878
11025,0x800D,0.0041,0.2035
11026,0x800C,0.0037,0.1878
11027,0x800C,0.0037,0.1878
11028,0x800C,0.0037,0.1878
11029,0x800B,0.0034,0.1722
11030,0x800C,0.0037,0.1878
11031,0x800B,0.0034,0.1722
11032,0x800B,0.0034,0.1722
11033,0x800C,0.0037,0.1878
11034,0x800B,0.0034,0.1722
11035,0x800B,0.0034,0.1722
11036,0x800B,0.0034,0.1722
11037,0x800B,0.0034,0.1722
11038,0x800C,0.0037,0.1878
11039,0x800C,0.0037,0.1878
11040,0x800B,0.0034,0.1722
11041,0x800D,0.0041,0.2035
11042,0x800C,0.0037,0.1878
11043,0x800C,0.0037,0.1878
11044,0x800C,0.0037,0.1878
11045,0x800C,0.0037,0.1878
11046,0x800C,0.0037,0.1878
11047,0x800B,0.0034,0.1722
11048,0x800C,0.0037,0.1878
11049,0x800C,0.0037,0.1878
11050,0x800B,0.0034,0.1722
11051,0x800B,0.0034,0.1722
11052,0x800C,0.0037,0.1878
11053,0x800C,0.0037,0.1878
11054,0x800C,0.0037,0.1878
11055,0x800B,0.0034,0.1722
11056,0x800B,0.0034,0.1722
11057,0x800B,0.0034,0.1722
11058,0x800C,0.0037,0.1878
11059,0x800C,0.0037,0.1878
11060,0x800C,0.0037,0.1878
11061,0x800C,0.0037,0.1878
11062,0x800C,0.0037,0.1878
11063,0x800C,0.0037,0.1878
11064,0x800C,0.0037,0.1878
11065,0x800C,0.0037,0.1878
11066,0x800D,0.0041,0.2035
11067,0x800B,0.0034,0.1722
11068,0x800C,0.0037,0.1878
11069,0x800C,0.0037,0.1878
11070,0x800C,0.0037,0.1878
11071,0x800D,0.0041,0.2035
11072,0x800C,0.0037,0.1878
11073,0x800B,0.0034,0.1722
11074,0x800C,0.0037,0.1878
11075,0x800D,0.0041,0.2035
11076,0x800C,0.0037,0.1878
11077,0x800C,0.0037,0.1878
11078,0x800C,0.0037,0.1878
11079,0x800D,0.0041,0.2035
11080,0x800B,0.0034,0.1722
11081,0x800C,0.0037,0.1878
11082,0x800C,0.0037,0.1878
11083,0x800B,0.0034,0.1722
11084,0x800C,0.0037,0.1878
11085,0x800C,0.0037,0.1878
11086,0x800C,0.0037,0.1878
11087,0x800D,0.0041,0.2035
11088,0x800C,0.0037,0.1878
11089,0x800B,0.0034,0.1722
11090,0x800B,0.0034,0.1722
11091,0x800D,0.0041,0.2035
11092,0x800C,0.0037,0.1878
11093,0x800B,0.0034,0.1722
11094,0x800D,0.0041,0.2035
11095,0x800C,0.0037,0.1878
11096,0x800C,0.0037,0.1878
11097,0x800D,0.0041,0.2035
11098,0x800C,0.0037,0.1878
11099,0x800B,0.0034,0.1722
11100,0x800C,0.0037,0.1878
11101,0x800B,0.0034,0.1722
11102,0x800C,0.0037,0.1878
11103,0x800B,0.0034,0.1722
11104,0x800B,0.0034,0.1722
11105,0x800C,0.0037,0.1878
11106,0x800C,0.0037,0.1878
11107,0x800B,0.0034,0.1722
11108,0x800D,0.0041,0.2035
11109,0x800D,0.0041,0.2035
11110,0x800B,0.0034,0.1722
11111,0x800C,0.0037,0.1878
11112,0x800C,0.0037,0.1878
11113,0x800B,0.0034,0.1722
11114,0x800C,0.0037,0.1878
11115,0x800C,0.0037,0.1878
11116,0x800C,0.0037,0.1878
11117,0x800B,0.0034,0.1722
11118,0x800B,0.0034,0.1722
