Amostra,Codigo_Digital,Tensao_V
2977,0x8000,0.0000
2978,0x7FFF,-0.0003
2979,0x7FFF,-0.0003
2980,0x7FFF,-0.0003
2981,0x7FFF,-0.0003
2982,0x7FFF,-0.0003
2983,0x7FFF,-0.0003
2984,0x7FFF,-0.0003
2985,0x7FFF,-0.0003
2986,0x7FFF,-0.0003
2987,0x8000,0.0000
2988,0x7FFF,-0.0003
2989,0x7FFF,-0.0003
2990,0x7FFF,-0.0003
2991,0x7FFF,-0.0003
2992,0x7FFF,-0.0003
2993,0x7FFF,-0.0003
2994,0x7FFE,-0.0006
2995,0x7FFF,-0.0003
2996,0x7FFF,-0.0003
2997,0x7FFE,-0.0006
2998,0x7FFF,-0.0003
2999,0x7FFF,-0.0003
3000,0x7FFF,-0.0003
3001,0x7FFF,-0.0003
3002,0x8000,0.0000
3003,0x7FFF,-0.0003
3004,0x7FFF,-0.0003
3005,0x7FFF,-0.0003
3006,0x7FFF,-0.0003
3007,0x7FFF,-0.0003
3008,0x7FFF,-0.0003
3009,0x7FFF,-0.0003
3010,0x7FFF,-0.0003
3011,0x7FFF,-0.0003
3012,0x8000,0.0000
3013,0x7FFE,-0.0006
3014,0x7FFF,-0.0003
3015,0x8000,0.0000
3016,0x8000,0.0000
3017,0x7FFF,-0.0003
3018,0x7FFF,-0.0003
3019,0x7FFF,-0.0003
3020,0x7FFF,-0.0003
3021,0x7FFF,-0.0003
3022,0x7FFF,-0.0003
3023,0x7FFF,-0.0003
3024,0x8000,0.0000
3025,0x7FFF,-0.0003
3026,0x7FFF,-0.0003
3027,0x7FFF,-0.0003
3028,0x7FFF,-0.0003
3029,0x7FFF,-0.0003
3030,0x7FFE,-0.0006
3031,0x7FFF,-0.0003
3032,0x7FFF,-0.0003
3033,0x7FFF,-0.0003
3034,0x7FFF,-0.0003
3035,0x7FFF,-0.0003
3036,0x7FFF,-0.0003
3037,0x7FFF,-0.0003
3038,0x7FFF,-0.0003
3039,0x7FFF,-0.0003
3040,0x8000,0.0000
3041,0x7FFF,-0.0003
3042,0x7FFF,-0.0003
3043,0x7FFF,-0.0003
3044,0x7FFF,-0.0003
3045,0x7FFF,-0.0003
3046,0x8000,0.0000
3047,0x7FFE,-0.0006
3048,0x7FFF,-0.0003
3049,0x7FFF,-0.0003
3050,0x7FFF,-0.0003
3051,0x7FFF,-0.0003
3052,0x8000,0.0000
3053,0x7FFF,-0.0003
3054,0x7FFE,-0.0006
3055,0x7FFF,-0.0003
3056,0x7FFF,-0.0003
3057,0x7FFF,-0.0003
3058,0x7FFE,-0.0006
3059,0x8000,0.0000
3060,0x7FFF,-0.0003
3061,0x7FFF,-0.0003
3062,0x7FFF,-0.0003
3063,0x8000,0.0000
3064,0x7FFE,-0.0006
3065,0x7FFE,-0.0006
3066,0x8000,0.0000
3067,0x8000,0.0000
3068,0x7FFF,-0.0003
3069,0x7FFF,-0.0003
3070,0x7FFF,-0.0003
3071,0x7FFF,-0.0003
3072,0x7FFE,-0.0006
3073,0x8000,0.0000
3074,0x7FFF,-0.0003
3075,0x7FFF,-0.0003
3076,0x7FFF,-0.0003
3077,0x7FFF,-0.0003
3078,0x7FFF,-0.0003
3079,0x7FFF,-0.0003
3080,0x7FFF,-0.0003
3081,0x7FFF,-0.0003
3082,0x7FFF,-0.0003
3083,0x7FFF,-0.0003
