Amostra,Codigo_Digital,Tensao_V
388,0x7FFF,-0.0003
389,0x7FFF,-0.0003
390,0x8000,0.0000
391,0x8000,0.0000
392,0x8000,0.0000
393,0x7FFE,-0.0006
394,0x7FFF,-0.0003
395,0x7FFF,-0.0003
396,0x7FFF,-0.0003
397,0x7FFF,-0.0003
398,0x7FFF,-0.0003
399,0x7FFF,-0.0003
400,0x7FFF,-0.0003
401,0x7FFF,-0.0003
402,0x8000,0.0000
403,0x7FFF,-0.0003
404,0x7FFE,-0.0006
405,0x7FFF,-0.0003
406,0x8000,0.0000
407,0x7FFF,-0.0003
408,0x7FFF,-0.0003
409,0x7FFF,-0.0003
410,0x8000,0.0000
411,0x7FFF,-0.0003
412,0x7FFF,-0.0003
413,0x7FFE,-0.0006
414,0x7FFF,-0.0003
415,0x8000,0.0000
416,0x7FFF,-0.0003
417,0x7FFE,-0.0006
418,0x7FFF,-0.0003
419,0x7FFF,-0.0003
420,0x8000,0.0000
421,0x7FFF,-0.0003
422,0x7FFE,-0.0006
423,0x7FFF,-0.0003
424,0x8000,0.0000
425,0x7FFF,-0.0003
426,0x7FFE,-0.0006
427,0x7FFF,-0.0003
428,0x8000,0.0000
429,0x7FFF,-0.0003
430,0x8000,0.0000
431,0x7FFF,-0.0003
432,0x7FFF,-0.0003
433,0x7FFF,-0.0003
434,0x8000,0.0000
435,0x7FFF,-0.0003
436,0x8000,0.0000
437,0x7FFF,-0.0003
438,0x8000,0.0000
439,0x8000,0.0000
440,0x7FFF,-0.0003
441,0x7FFF,-0.0003
442,0x7FFF,-0.0003
443,0x7FFF,-0.0003
444,0x7FFF,-0.0003
445,0x7FFF,-0.0003
446,0x7FFF,-0.0003
447,0x8000,0.0000
448,0x7FFF,-0.0003
449,0x7FFF,-0.0003
450,0x7FFF,-0.0003
451,0x7FFF,-0.0003
452,0x7FFF,-0.0003
453,0x7FFF,-0.0003
454,0x7FFF,-0.0003
455,0x7FFF,-0.0003
456,0x7FFF,-0.0003
457,0x7FFF,-0.0003
458,0x7FFF,-0.0003
459,0x7FFE,-0.0006
460,0x7FFF,-0.0003
461,0x7FFF,-0.0003
462,0x7FFE,-0.0006
463,0x7FFF,-0.0003
464,0x7FFF,-0.0003
465,0x7FFE,-0.0006
466,0x8000,0.0000
467,0x7FFF,-0.0003
468,0x7FFF,-0.0003
469,0x7FFF,-0.0003
470,0x7FFF,-0.0003
471,0x7FFF,-0.0003
472,0x7FFF,-0.0003
473,0x7FFF,-0.0003
474,0x7FFE,-0.0006
475,0x7FFF,-0.0003
476,0x7FFE,-0.0006
477,0x7FFF,-0.0003
478,0x7FFF,-0.0003
479,0x7FFF,-0.0003
480,0x7FFF,-0.0003
481,0x7FFE,-0.0006
482,0x7FFE,-0.0006
483,0x7FFF,-0.0003
484,0x7FFF,-0.0003
485,0x7FFF,-0.0003
486,0x7FFF,-0.0003
487,0x7FFF,-0.0003
488,0x7FFF,-0.0003
489,0x8000,0.0000
490,0x7FFF,-0.0003
491,0x7FFF,-0.0003
492,0x8000,0.0000
493,0x8000,0.0000
494,0x8000,0.0000
495,0x7FFF,-0.0003
496,0x7FFF,-0.0003
497,0x8000,0.0000
498,0x7FFE,-0.0006
499,0x7FFF,-0.0003
500,0x7FFF,-0.0003
501,0x7FFF,-0.0003
502,0x7FFF,-0.0003
503,0x7FFE,-0.0006
504,0x7FFE,-0.0006
505,0x7FFF,-0.0003
506,0x7FFF,-0.0003
507,0x7FFF,-0.0003
508,0x7FFF,-0.0003
509,0x7FFF,-0.0003
510,0x8000,0.0000
511,0x7FFF,-0.0003
512,0x7FFF,-0.0003
513,0x7FFE,-0.0006
514,0x7FFF,-0.0003
515,0x7FFF,-0.0003
516,0x8000,0.0000
517,0x7FFF,-0.0003
518,0x7FFF,-0.0003
519,0x7FFF,-0.0003
520,0x7FFE,-0.0006
521,0x7FFF,-0.0003
522,0x7FFF,-0.0003
523,0x7FFF,-0.0003
524,0x8000,0.0000
525,0x7FFF,-0.0003
526,0x7FFE,-0.0006
527,0x7FFF,-0.0003
528,0x7FFF,-0.0003
529,0x7FFF,-0.0003
530,0x7FFF,-0.0003
531,0x7FFE,-0.0006
532,0x7FFF,-0.0003
533,0x7FFF,-0.0003
534,0x7FFF,-0.0003
535,0x7FFD,-0.0009
536,0x7FFF,-0.0003
537,0x8000,0.0000
538,0x7FFF,-0.0003
539,0x7FFE,-0.0006
540,0x7FFF,-0.0003
541,0x7FFF,-0.0003
542,0x7FFE,-0.0006
543,0x7FFF,-0.0003
544,0x7FFF,-0.0003
545,0x7FFF,-0.0003
546,0x7FFF,-0.0003
547,0x7FFF,-0.0003
548,0x8000,0.0000
549,0x7FFE,-0.0006
550,0x7FFF,-0.0003
551,0x7FFF,-0.0003
552,0x7FFF,-0.0003
553,0x8001,0.0003
554,0x7FFF,-0.0003
555,0x7FFF,-0.0003
556,0x7FFF,-0.0003
557,0x8000,0.0000
558,0x7FFF,-0.0003
559,0x7FFF,-0.0003
560,0x7FFE,-0.0006
561,0x7FFF,-0.0003
562,0x7FFF,-0.0003
563,0x7FFF,-0.0003
564,0x7FFE,-0.0006
565,0x7FFF,-0.0003
566,0x7FFE,-0.0006
567,0x7FFF,-0.0003
568,0x7FFF,-0.0003
569,0x7FFF,-0.0003
570,0x7FFF,-0.0003
571,0x7FFF,-0.0003
572,0x7FFF,-0.0003
573,0x7FFF,-0.0003
574,0x7FFF,-0.0003
575,0x7FFF,-0.0003
576,0x7FFF,-0.0003
577,0x7FFF,-0.0003
578,0x8000,0.0000
579,0x7FFF,-0.0003
580,0x7FFF,-0.0003
581,0x7FFF,-0.0003
582,0x7FFF,-0.0003
583,0x7FFF,-0.0003
584,0x7FFF,-0.0003
585,0x7FFF,-0.0003
586,0x7FFE,-0.0006
587,0x7FFF,-0.0003
588,0x8000,0.0000
589,0x8000,0.0000
590,0x8000,0.0000
591,0x7FFF,-0.0003
592,0x7FFF,-0.0003
593,0x7FFF,-0.0003
594,0x7FFE,-0.0006
595,0x7FFE,-0.0006
596,0x7FFF,-0.0003
597,0x7FFF,-0.0003
598,0x7FFF,-0.0003
599,0x7FFF,-0.0003
600,0x7FFF,-0.0003
601,0x7FFF,-0.0003
602,0x7FFF,-0.0003
603,0x8000,0.0000
604,0x7FFF,-0.0003
605,0x7FFE,-0.0006
606,0x8000,0.0000
607,0x8000,0.0000
608,0x8000,0.0000
609,0x8000,0.0000
610,0x7FFF,-0.0003
611,0x7FFF,-0.0003
612,0x7FFF,-0.0003
613,0x7FFF,-0.0003
614,0x7FFF,-0.0003
615,0x7FFE,-0.0006
616,0x7FFF,-0.0003
617,0x7FFF,-0.0003
618,0x7FFF,-0.0003
619,0x7FFF,-0.0003
620,0x7FFF,-0.0003
621,0x7FFF,-0.0003
622,0x8000,0.0000
623,0x7FFF,-0.0003
624,0x7FFF,-0.0003
625,0x7FFF,-0.0003
626,0x8000,0.0000
627,0x7FFF,-0.0003
628,0x7FFF,-0.0003
629,0x7FFF,-0.0003
630,0x7FFF,-0.0003
631,0x8000,0.0000
