Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
266,0xE560,8.1093,156.2845
267,0xF689,9.4802,182.7052
268,0xF792,9.5611,184.2643
269,0xE4CF,8.0586,155.3067
270,0xCA79,5.9505,114.6795
271,0x9EEC,2.4659,47.5241
272,0x7125,-1.1960,-23.0500
273,0x499A,-4.3586,-83.9998
274,0x2322,-7.4346,-143.2817
275,0x0C06,-9.2815,-178.8755
276,0x07EB,-9.6080,-185.1682
277,0x149F,-8.5900,-165.5496
278,0x2A3B,-6.8599,-132.2062
279,0x523D,-3.6586,-70.5088
280,0x8032,0.0180,0.3469
281,0xA882,3.2424,62.4876
282,0xD263,6.5913,127.0303
283,0xED75,8.7552,168.7331
284,0xF7F3,9.5927,184.8728
285,0xF332,9.2105,177.5078
286,0xDE17,7.5206,144.9388
287,0xBC6F,4.8271,93.0295
288,0x9003,1.2731,24.5357
289,0x6465,-2.2158,-42.7040
290,0x3A7B,-5.5678,-107.3049
291,0x1AB7,-8.1075,-156.2493
292,0x0A21,-9.4324,-181.7849
293,0x08D7,-9.5337,-183.7355
294,0x1AA1,-8.1089,-156.2774
295,0x3550,-5.9730,-115.1141
296,0x60F1,-2.4822,-47.8382
297,0x8EEE,1.1966,23.0611
298,0xB6B5,4.3779,84.3723
299,0xDCAD,7.4139,142.8833
300,0xF359,9.2258,177.8028
301,0xF82D,9.6102,185.2097
302,0xECCC,8.6981,167.6323
303,0xD5D9,6.8608,132.2232
304,0xAD90,3.6373,70.0982
305,0x7FBC,-0.0290,-0.5587
306,0x57C3,-3.2262,-62.1755
307,0x2DBF,-6.5861,-126.9290
308,0x12E0,-8.7340,-168.3247
309,0x0833,-9.5862,-184.7475
310,0x0CCF,-9.2156,-177.6053
311,0x2223,-7.5078,-144.6931
312,0x438A,-4.8347,-93.1753
313,0x7012,-1.2719,-24.5128
314,0x9BB9,2.2198,42.7810
315,0xC584,5.5621,107.1953
316,0xE587,8.1215,156.5191
317,0xF5E8,9.4299,181.7354
318,0xF74B,9.5389,183.8367
319,0xE551,8.0992,156.0895
320,0xCABE,5.9720,115.0948
321,0x9F06,2.4740,47.6805
322,0x7113,-1.2017,-23.1586
323,0x497A,-4.3686,-84.1928
324,0x230E,-7.4409,-143.4023
325,0x0D80,-9.1634,-176.5996
326,0x07D4,-9.6152,-185.3073
327,0x1380,-8.6797,-167.2784
328,0x29F3,-6.8824,-132.6400
329,0x5248,-3.6551,-70.4427
330,0x804E,0.0267,0.5154
331,0xA89D,3.2508,62.6499
332,0xD263,6.5913,127.0301
333,0xEDAF,8.7733,169.0821
334,0xF7E8,9.5892,184.8062
335,0xF3DF,9.2646,178.5492
336,0xDE4C,7.5371,145.2574
337,0xBC1E,4.8018,92.5412
338,0x8FD3,1.2581,24.2462
339,0x6437,-2.2302,-42.9814
340,0x3A53,-5.5803,-107.5461
341,0x1ABC,-8.1059,-156.2195
342,0x09BE,-9.4634,-182.3813
