Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
469,0x0818,-9.5925,-480.4970
470,0x1639,-8.4622,-423.8787
471,0x2D17,-6.6328,-332.2436
472,0x560F,-3.3553,-168.0707
473,0x83C6,0.3019,15.1212
474,0xAC0C,3.5238,176.5078
475,0xD55C,6.8288,342.0583
476,0xEE7B,8.8384,442.7253
477,0xF7D8,9.5875,480.2466
478,0xF1A2,9.0906,455.3577
479,0xDC57,7.3872,370.0309
480,0xB870,4.5150,226.1604
481,0x8BE2,0.9506,47.6177
482,0x6110,-2.4750,-123.9750
483,0x36FA,-5.8419,-292.6248
484,0x1920,-8.2300,-412.2482
485,0x0983,-9.4791,-474.8148
486,0x09B1,-9.4647,-474.0948
487,0x1C7B,-7.9616,-398.8019
488,0x3958,-5.6525,-283.1389
489,0x64BC,-2.1813,-109.2608
490,0x922F,1.4547,72.8666
491,0xBA6D,4.6741,234.1281
492,0xDE95,7.5666,379.0160
493,0xF310,9.2050,461.0868
494,0xF80F,9.6047,481.1075
495,0xE9E3,8.4709,424.3170
496,0xD300,6.6400,332.6036
497,0xAA1E,3.3694,168.7751
498,0x7C86,-0.2781,-13.9315
499,0x5449,-3.4972,-175.1773
500,0x2B04,-6.7987,-340.5556
501,0x11C8,-8.8175,-441.6766
502,0x08D0,-9.5350,-477.6168
503,0x0E4C,-9.0962,-455.6394
504,0x23D6,-7.3731,-369.3265
505,0x4768,-4.5275,-226.7866
506,0x73A1,-0.9897,-49.5743
507,0x9EE7,2.4722,123.8341
508,0xC8FF,5.8397,292.5153
509,0xE6B2,8.2156,411.5281
510,0xF66B,9.4734,474.5331
511,0xF5AE,9.4144,471.5746
512,0xE280,7.8800,394.7164
513,0xC73D,5.6991,285.4712
514,0x9B5C,2.1888,109.6365
515,0x6E40,-1.4200,-71.1291
516,0x45E5,-4.6484,-232.8445
517,0x21B4,-7.5437,-377.8733
518,0x0C6F,-9.2453,-463.1061
519,0x088D,-9.5559,-478.6656
520,0x1580,-8.5200,-426.7746
521,0x2CCC,-6.6562,-333.4176
522,0x55C9,-3.3772,-169.1664
523,0x8362,0.2706,13.5559
524,0xAB82,3.4806,174.3477
525,0xD4E1,6.7903,340.1329
526,0xED6B,8.7534,438.4676
527,0xF7AA,9.5731,479.5265
528,0xF0EE,9.0344,452.5401
529,0xDBFB,7.3584,368.5908
530,0xB8E9,4.5528,228.0545
531,0x8C98,1.0075,50.4666
532,0x617F,-2.4403,-122.2375
533,0x374B,-5.8166,-291.3569
534,0x196E,-8.2056,-411.0272
535,0x09D5,-9.4534,-473.5313
536,0x09CC,-9.4563,-473.6722
537,0x1C94,-7.9538,-398.4106
538,0x3871,-5.7247,-286.7548
539,0x640C,-2.2362,-112.0158
540,0x91A5,1.4116,70.7064
541,0xB9EB,4.6334,232.0931
542,0xDE43,7.5409,377.7324
543,0xF3F9,9.2778,464.7341
544,0xF83C,9.6187,481.8119
545,0xEA80,8.5200,426.7746
